Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
FD_CLOEXEC;-;-;X;X;X;-;X;X;-;-;-;-;-;-;-;-;
HAVE_LOCALTIME_R;-;-;X;X;-;X;X;X;-;X;-;-;-;-;-;-;
HAVE_LOCALTIME_S;-;-;X;X;-;X;X;-;X;-;X;-;-;-;-;-;
HAVE_MALLOC_H;-;X;X;-;-;X;X;X;-;-;-;-;X;-;-;-;
HAVE_MALLOC_USABLE_SIZE;-;-;X;X;X;-;X;-;X;-;X;-;X;-;-;-;
HAVE_POSIX_FALLOCATE;-;-;X;X;-;X;-;-;X;-;X;X;-;-;-;-;
HAVE_STDINT_H;-;-;X;X;-;X;X;X;-;-;-;X;-;-;-;-;
HAVE_STRERROR_R;-;X;X;-;-;X;-;-;X;X;-;X;-;-;-;-;
HAVE_USLEEP;-;X;X;-;-;X;X;-;-;-;X;X;X;-;-;-;
NDEBUG;-;X;X;-;X;-;X;-;X;-;X;-;X;-;-;-;
NO_GETTOD;-;X;-;X;X;-;-;-;X;X;X;-;-;-;-;-;
OS_VXWORKS;-;X;-;X;X;-;-;-;X;X;-;X;-;-;-;-;
O_CLOEXEC;-;-;X;X;X;-;-;-;X;X;X;-;-;-;-;-;
SQLITE_AMALGAMATION;-;X;-;-;X;X;-;-;X;X;-;X;-;-;-;-;
SQLITE_ASCII;-;X;-;-;X;X;-;-;X;-;X;X;-;-;-;-;
SQLITE_CHECK_PAGES;-;-;X;X;X;-;-;X;-;-;X;X;-;-;-;-;
SQLITE_CORE;-;X;-;X;-;-;X;X;X;X;-;-;-;-;-;-;
SQLITE_COVERAGE_TEST;-;X;-;X;X;-;X;-;-;-;X;X;-;-;-;-;
SQLITE_DEBUG;-;X;-;X;X;-;-;X;X;-;-;X;-;-;-;-;
SQLITE_DEFAULT_FOREIGN_KEYS;-;X;-;X;X;-;X;-;X;-;-;-;X;-;-;-;
SQLITE_DEFAULT_MEMSTATUS;-;-;X;X;X;-;-;-;X;X;-;X;-;-;-;-;
SQLITE_EBCDIC;-;-;X;X;X;X;-;-;-;X;-;-;-;-;-;-;
SQLITE_ENABLE_CEROD;-;X;-;X;-;X;-;X;-;-;X;-;X;X;-;-;
SQLITE_ENABLE_COLUMN_METADATA;-;X;-;-;X;-;X;X;-;-;-;X;-;X;-;-;
SQLITE_ENABLE_EXPENSIVE_ASSERT;-;X;X;-;X;-;-;X;-;-;X;X;-;X;-;-;
SQLITE_ENABLE_FTS3;-;-;X;X;X;-;-;X;-;X;X;-;-;-;-;-;
SQLITE_ENABLE_FTS4;-;-;X;X;X;-;X;-;-;X;X;-;X;-;-;-;
SQLITE_ENABLE_FTS4_UNICODE61;-;X;X;-;X;-;-;X;X;-;-;X;-;-;-;-;
SQLITE_ENABLE_ICU;-;-;X;X;X;-;X;-;X;-;-;X;-;-;-;-;
SQLITE_ENABLE_IOTRACE;-;X;-;X;X;-;X;-;-;X;-;-;X;-;X;-;
SQLITE_ENABLE_LOCKING_STYLE;-;X;-;-;-;X;X;X;X;-;-;-;-;-;-;-;
SQLITE_ENABLE_MEMORY_MANAGEMENT;-;X;X;-;-;-;X;X;-;X;X;-;-;-;-;-;
SQLITE_ENABLE_MEMSYS3;-;X;X;-;X;-;-;X;-;-;X;X;X;-;X;-;
SQLITE_ENABLE_MEMSYS5;-;X;X;-;X;-;-;X;-;-;X;X;X;-;-;X;
SQLITE_ENABLE_OVERSIZE_CELL_CHECK;-;X;X;-;X;-;-;X;-;X;X;-;-;-;-;-;
SQLITE_ENABLE_RTREE;-;X;X;-;X;-;X;-;X;X;-;-;-;-;-;-;
SQLITE_ENABLE_SQLLOG;-;X;-;-;X;X;X;-;-;-;-;-;-;-;-;-;
SQLITE_ENABLE_TREE_EXPLAIN;-;X;-;X;-;-;X;X;-;X;X;X;-;-;-;-;
SQLITE_ENABLE_UPDATE_DELETE_LIMIT;-;-;X;X;X;-;X;-;X;X;-;-;-;X;-;-;
SQLITE_ENABLE_WHERETRACE;-;X;-;X;-;-;X;X;X;-;-;X;-;-;-;-;
SQLITE_HAS_CODEC;-;X;-;-;X;X;-;X;-;X;-;X;-;-;-;-;
SQLITE_HAVE_ISNAN;-;X;-;-;X;X;-;X;X;-;-;-;-;-;-;-;
SQLITE_HOMEGROWN_RECURSIVE_MUTEX;-;X;-;X;-;X;-;X;-;X;-;-;-;-;-;-;
SQLITE_MALLOC_SOFT_LIMIT;-;X;-;X;X;-;-;X;X;-;X;-;-;-;-;-;
SQLITE_MEMDEBUG;-;X;X;-;-;-;X;X;-;X;-;X;-;-;-;-;
SQLITE_MSVC_LOCALTIME_API;-;X;X;-;-;X;X;X;-;-;-;X;-;-;-;-;
SQLITE_MUTEX_NOOP;-;-;X;X;X;X;-;-;X;-;-;-;-;-;-;-;
SQLITE_MUTEX_OMIT;-;X;X;-;X;-;-;X;-;X;-;X;-;X;-;-;
SQLITE_NO_SYNC;-;X;-;X;X;-;X;-;X;-;-;X;-;-;-;-;
SQLITE_OMIT_ANALYZE;-;X;X;-;X;-;X;X;-;-;-;-;-;X;-;-;
SQLITE_OMIT_ATTACH;-;X;-;X;X;-;-;X;-;X;-;X;-;-;-;-;
SQLITE_OMIT_AUTOVACUUM;-;X;X;-;-;-;X;X;X;-;-;X;-;-;-;-;
SQLITE_OMIT_BLOB_LITERAL;-;X;-;-;X;X;-;X;-;X;-;-;X;-;-;-;
SQLITE_OMIT_BUILTIN_TEST;-;X;-;X;-;X;-;X;-;-;X;-;X;-;X;-;
SQLITE_OMIT_CAST;-;-;X;X;-;X;X;X;-;-;X;-;-;-;-;-;
SQLITE_OMIT_COMPOUND_SELECT;-;X;X;-;X;-;-;X;-;-;X;-;X;X;-;-;
SQLITE_OMIT_DECLTYPE;-;-;X;X;-;X;-;-;X;X;X;-;X;-;-;-;
SQLITE_OMIT_DEPRECATED;-;X;-;X;X;-;X;-;-;X;-;-;X;X;-;-;
SQLITE_OMIT_DISKIO;-;-;X;X;X;-;X;-;-;X;X;X;-;-;X;-;
SQLITE_OMIT_EXPLAIN;-;X;X;-;X;-;X;-;X;-;X;X;-;-;-;-;
SQLITE_OMIT_FLOATING_POINT;-;X;X;X;-;-;-;-;X;-;-;-;-;-;-;-;
SQLITE_OMIT_FOREIGN_KEY;-;-;X;X;-;-;X;X;X;-;-;-;-;-;-;-;
SQLITE_OMIT_LOAD_EXTENSION;-;-;X;X;X;-;X;-;-;X;X;X;-;X;-;-;
SQLITE_OMIT_OR_OPTIMIZATION;-;-;X;X;X;-;-;X;-;X;-;X;-;-;-;-;
SQLITE_OMIT_PAGER_PRAGMAS;-;X;X;-;-;X;X;-;X;-;-;X;-;X;-;-;
SQLITE_OMIT_PRAGMA;-;-;X;X;-;X;-;X;X;X;X;-;-;-;-;-;
SQLITE_OMIT_SHARED_CACHE;-;X;-;X;X;-;X;-;-;X;-;X;-;-;X;-;
SQLITE_OMIT_SUBQUERY;-;-;X;-;X;X;X;-;X;-;-;-;-;-;-;-;
SQLITE_OMIT_TRACE;-;X;X;-;-;X;-;X;-;X;-;X;X;-;-;-;
SQLITE_OMIT_TRIGGER;-;X;-;X;-;X;-;-;X;-;X;-;-;-;-;-;
SQLITE_OMIT_VACUUM;-;-;X;X;X;-;X;-;X;X;-;-;X;-;-;-;
SQLITE_OMIT_VIEW;-;X;-;X;-;X;X;-;X;-;-;-;X;-;-;-;
SQLITE_OMIT_VIRTUALTABLE;-;X;-;-;X;X;-;-;X;X;X;-;-;-;-;-;
SQLITE_OMIT_WAL;X;-;X;-;X;X;X;-;-;-;X;-;X;X;X;X;
SQLITE_OS_OTHER;-;X;X;-;-;X;X;-;-;X;-;X;-;-;X;-;
